geoid,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
06037113401,"Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,"(34.2279845, -118.562301)",34.2279845,-118.562301
06037113421,"Census Tract 1134.21, Los Angeles County, California",113421,Winnetka,"(34.234694, -118.5826685)",34.234694,-118.5826685
06037113422,"Census Tract 1134.22, Los Angeles County, California",113422,Winnetka,"(34.224085, -118.5821745)",34.224085,-118.5821745
06037115101,"Census Tract 1151.01, Los Angeles County, California",115101,Northridge,"(34.239435, -118.5112365)",34.239435,-118.5112365
06037115103,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,"(34.246414, -118.528551)",34.246414,-118.528551
06037115104,"Census Tract 1151.04, Los Angeles County, California",115104,Northridge,"(34.2395005, -118.523595)",34.2395005,-118.523595
06037115201,"Census Tract 1152.01, Los Angeles County, California",115201,Northridge,"(34.244559, -118.537408)",34.244559,-118.537408
06037115202,"Census Tract 1152.02, Los Angeles County, California",115202,Northridge,"(34.2338575, -118.537507)",34.2338575,-118.537507
06037115301,"Census Tract 1153.01, Los Angeles County, California",115301,Northridge,"(34.240482, -118.545339)",34.240482,-118.545339
06037115302,"Census Tract 1153.02, Los Angeles County, California",115302,Northridge,"(34.226401, -118.5498615)",34.226401,-118.5498615
06037115401,"Census Tract 1154.01, Los Angeles County, California",115401,Northridge,"(34.2247565, -118.5149735)",34.2247565,-118.5149735
06037115403,"Census Tract 1154.03, Los Angeles County, California",115403,Northridge,"(34.22481, -118.5317135)",34.22481,-118.5317135
06037115404,"Census Tract 1154.04, Los Angeles County, California",115404,Northridge,"(34.2257645, -118.5412445)",34.2257645,-118.5412445
06037117101,"Census Tract 1171.01, Los Angeles County, California",117101,North Hills,"(34.2391215, -118.4617905)",34.2391215,-118.4617905
06037117102,"Census Tract 1171.02, Los Angeles County, California",117102,North Hills,"(34.2463715, -118.4596495)",34.2463715,-118.4596495
06037117201,"Census Tract 1172.01, Los Angeles County, California",117201,North Hills,"(34.242798, -118.470143)",34.242798,-118.470143
06037117202,"Census Tract 1172.02, Los Angeles County, California",117202,North Hills,"(34.242857, -118.478624)",34.242857,-118.478624
06037117301,"Census Tract 1173.01, Los Angeles County, California",117301,North Hills,"(34.242917, -118.4905265)",34.242917,-118.4905265
06037117302,"Census Tract 1173.02, Los Angeles County, California",117302,Northridge,"(34.235472, -118.49709)",34.235472,-118.49709
06037117303,"Census Tract 1173.03, Los Angeles County, California",117303,North Hills,"(34.2281815, -118.4920695)",34.2281815,-118.4920695
06037117404,"Census Tract 1174.04, Los Angeles County, California",117404,North Hills,"(34.228481, -118.479066)",34.228481,-118.479066
06037117405,"Census Tract 1174.05, Los Angeles County, California",117405,North Hills,"(34.2337315, -118.4702305)",34.2337315,-118.4702305
06037117407,"Census Tract 1174.07, Los Angeles County, California",117407,North Hills,"(34.2300885, -118.470266)",34.2300885,-118.470266
06037117408,"Census Tract 1174.08, Los Angeles County, California",117408,North Hills,"(34.2248485, -118.4703675)",34.2248485,-118.4703675
06037117510,"Census Tract 1175.10, Los Angeles County, California",117510,North Hills,"(34.2336865, -118.462625)",34.2336865,-118.462625
06037117520,"Census Tract 1175.20, Los Angeles County, California",117520,North Hills,"(34.230017, -118.4631875)",34.230017,-118.4631875
06037117530,"Census Tract 1175.30, Los Angeles County, California",117530,North Hills,"(34.224845, -118.4634755)",34.224845,-118.4634755
06037119001,"Census Tract 1190.01, Los Angeles County, California",119001,Arleta,"(34.232289, -118.4180405)",34.232289,-118.4180405
06037119002,"Census Tract 1190.02, Los Angeles County, California",119002,Arleta,"(34.245902, -118.428032)",34.245902,-118.428032
06037119201,"Census Tract 1192.01, Los Angeles County, California",119201,Arleta,"(34.246411, -118.441015)",34.246411,-118.441015
06037119202,"Census Tract 1192.02, Los Angeles County, California",119202,Arleta,"(34.2559555, -118.442705)",34.2559555,-118.442705
06037119310,"Census Tract 1193.10, Los Angeles County, California",119310,Panorama City,"(34.246626, -118.450697)",34.246626,-118.450697
06037119320,"Census Tract 1193.20, Los Angeles County, California",119320,Panorama City,"(34.239058, -118.453982)",34.239058,-118.453982
06037119340,"Census Tract 1193.40, Los Angeles County, California",119340,Panorama City,"(34.2336085, -118.4518995)",34.2336085,-118.4518995
06037119341,"Census Tract 1193.41, Los Angeles County, California",119341,Panorama City,"(34.237627, -118.4453355)",34.237627,-118.4453355
06037119342,"Census Tract 1193.42, Los Angeles County, California",119342,Panorama City,"(34.240834, -118.4468745)",34.240834,-118.4468745
06037119400,"Census Tract 1194, Los Angeles County, California",119400,Arleta,"(34.2399345, -118.4355265)",34.2399345,-118.4355265
06037119700,"Census Tract 1197, Los Angeles County, California",119700,Panorama City,"(34.219334, -118.4266115)",34.219334,-118.4266115
06037119800,"Census Tract 1198, Los Angeles County, California",119800,Arleta,"(34.2337665, -118.429943)",34.2337665,-118.429943
06037119900,"Census Tract 1199, Los Angeles County, California",119900,Panorama City,"(34.227376, -118.441236)",34.227376,-118.441236
06037120010,"Census Tract 1200.10, Los Angeles County, California",120010,Panorama City,"(34.2175015, -118.4629745)",34.2175015,-118.4629745
06037120020,"Census Tract 1200.20, Los Angeles County, California",120020,Panorama City,"(34.2166115, -118.4541405)",34.2166115,-118.4541405
06037120030,"Census Tract 1200.30, Los Angeles County, California",120030,Panorama City,"(34.2149315, -118.451986)",34.2149315,-118.451986
06037120103,"Census Tract 1201.03, Los Angeles County, California",120103,Panorama City,"(34.229161, -118.4516205)",34.229161,-118.4516205
06037120104,"Census Tract 1201.04, Los Angeles County, California",120104,Panorama City,"(34.224796, -118.4484845)",34.224796,-118.4484845
06037120105,"Census Tract 1201.05, Los Angeles County, California",120105,Panorama City,"(34.2300875, -118.444443)",34.2300875,-118.444443
06037120106,"Census Tract 1201.06, Los Angeles County, California",120106,Panorama City,"(34.223101, -118.4567005)",34.223101,-118.4567005
06037120107,"Census Tract 1201.07, Los Angeles County, California",120107,Panorama City,"(34.2264195, -118.4566575)",34.2264195,-118.4566575
06037120108,"Census Tract 1201.08, Los Angeles County, California",120108,Panorama City,"(34.231779, -118.4563995)",34.231779,-118.4563995
06037120300,"Census Tract 1203, Los Angeles County, California",120300,Panorama City,"(34.214918, -118.439841)",34.214918,-118.439841
06037120400,"Census Tract 1204, Los Angeles County, California",120400,Panorama City,"(34.2178505, -118.4330175)",34.2178505,-118.4330175
06037121010,"Census Tract 1210.10, Los Angeles County, California",121010,Sun Valley,"(34.224559, -118.402591)",34.224559,-118.402591
06037121020,"Census Tract 1210.20, Los Angeles County, California",121020,Sun Valley,"(34.2110805, -118.402468)",34.2110805,-118.402468
06037121101,"Census Tract 1211.01, Los Angeles County, California",121101,Sun Valley,"(34.225737, -118.3655)",34.225737,-118.3655
06037121102,"Census Tract 1211.02, Los Angeles County, California",121102,Sun Valley,"(34.2403885, -118.3845615)",34.2403885,-118.3845615
06037121210,"Census Tract 1212.10, Los Angeles County, California",121210,Pacoima,"(34.2400435, -118.404715)",34.2400435,-118.404715
06037121221,"Census Tract 1212.21, Los Angeles County, California",121221,Sun Valley,"(34.227323, -118.396127)",34.227323,-118.396127
06037121222,"Census Tract 1212.22, Los Angeles County, California",121222,Sun Valley,"(34.2330185, -118.391909)",34.2330185,-118.391909
06037121600,"Census Tract 1216, Los Angeles County, California",121600,Sun Valley,"(34.211448, -118.409348)",34.211448,-118.409348
06037121801,"Census Tract 1218.01, Los Angeles County, California",121801,Sun Valley,"(34.21209, -118.3921495)",34.21209,-118.3921495
06037121802,"Census Tract 1218.02, Los Angeles County, California",121802,Sun Valley,"(34.219592, -118.39214)",34.219592,-118.39214
06037121900,"Census Tract 1219, Los Angeles County, California",121900,Sun Valley,"(34.2176405, -118.3816355)",34.2176405,-118.3816355
06037122000,"Census Tract 1220, Los Angeles County, California",122000,Sun Valley,"(34.2171585, -118.4183795)",34.2171585,-118.4183795
06037122120,"Census Tract 1221.20, Los Angeles County, California",122120,Sun Valley,"(34.21116, -118.371144)",34.21116,-118.371144
06037122121,"Census Tract 1221.21, Los Angeles County, California",122121,Sun Valley,"(34.2138845, -118.3714175)",34.2138845,-118.3714175
06037122122,"Census Tract 1221.22, Los Angeles County, California",122122,Sun Valley,"(34.220949, -118.3717735)",34.220949,-118.3717735
