geoid,Tract Number,Neighborhood,Location,Latitude,Longitude,Census_Tract
06037232600,232600,Vermont-Slauson,"(33.9920885, -118.298021)",33.9920885,-118.298021,Census Tract 2326
06037232700,232700,Vermont-Slauson,"(33.992427, -118.285947)",33.992427,-118.285947,Census Tract 2327
06037232800,232800,South Park,"(33.9924525, -118.2771805)",33.9924525,-118.2771805,Census Tract 2328
06037234000,234000,Leimert Park,"(34.011672, -118.322292)",34.011672,-118.322292,Census Tract 2340
06037234200,234200,Leimert Park,"(34.016776, -118.331087)",34.016776,-118.331087,Census Tract 2342
06037234300,234300,Leimert Park,"(34.007159, -118.3293635)",34.007159,-118.3293635,Census Tract 2343
06037234501,234501,Hyde Park,"(33.997504, -118.3246435)",33.997504,-118.3246435,Census Tract 2345.01
06037234502,234502,Hyde Park,"(34.001849, -118.32479)",34.001849,-118.32479,Census Tract 2345.02
06037234600,234600,Hyde Park,"(33.9926585, -118.327201)",33.9926585,-118.327201,Census Tract 2346
06037234700,234700,Hyde Park,"(33.987231, -118.327693)",33.987231,-118.327693,Census Tract 2347
06037234800,234800,Hyde Park,"(33.9818325, -118.3220865)",33.9818325,-118.3220865,Census Tract 2348
06037234901,234901,Hyde Park,"(33.981784, -118.328655)",33.981784,-118.328655,Census Tract 2349.01
06037234902,234902,Hyde Park,"(33.981753, -118.3346945)",33.981753,-118.3346945,Census Tract 2349.02
06037235100,235100,Hyde Park,"(33.9855355, -118.348147)",33.9855355,-118.348147,Census Tract 2351
06037235201,235201,Hyde Park,"(33.9744985, -118.322127)",33.9744985,-118.322127,Census Tract 2352.01
06037235202,235202,Hyde Park,"(33.972711, -118.3308415)",33.972711,-118.3308415,Census Tract 2352.02
06037236000,236000,Ladera Heights,"(34.009386, -118.367527)",34.009386,-118.367527,Census Tract 2360
06037236100,236100,Baldwin Hills/Crenshaw,"(34.0120535, -118.3418225)",34.0120535,-118.3418225,Census Tract 2361
06037236202,236202,Baldwin Hills/Crenshaw,"(34.0167105, -118.352691)",34.0167105,-118.352691,Census Tract 2362.02
06037236203,236203,Baldwin Hills/Crenshaw,"(34.0176365, -118.347316)",34.0176365,-118.347316,Census Tract 2362.03
