Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char.,Pop. Char. Score,Pop. Char. Pctl
06037106407,3119,Los Angeles,91342,Los Angeles,-118.4365572,34.3105742,41.58,77.43,75-80%,CalEnviroScreen 4.0 Top 25%,0.067,97,10.98471997,54.84,0.398,84.72,726.64,83.13,44.32,43.3,0,0,319.1063283,42.87,1741.756484,82.71,0,0,0,0,0.12,20.32,0,0,0,0,42.07,5.14,48.76,63.98,73.29,5.86,72.32,13.45,57.13,42.4,91.71,12.3,69.47,68.8,96.93,10.1,86.75,37.4,97.59,78.04,8.09,90.34
06037128101,3735,Los Angeles,91405,Los Angeles,-118.4356174,34.1902993,41.51,77.33,75-80%,CalEnviroScreen 4.0 Top 25%,0.062,88.7,11.63653858,64.08,0.076,28.56,726.64,83.13,64.17,71.77,0,0,899.156667,62.18,1048.798265,61.08,36.5,91.68,0,0,0.045,5.57,4,43.78,0,0,47.69,5.82,64.09,61.77,71.29,4.88,48.99,15.3,68.38,15.5,56.48,15.7,78.71,42.3,72.58,8.9,81.01,26.6,83.94,68.71,7.13,78.47
06037186302,5096,Los Angeles,90065,Los Angeles,-118.228857,34.1126744,41.41,77.27,75-80%,CalEnviroScreen 4.0 Top 25%,0.052,66.81,11.88924998,72.71,0.213,64.28,488.79,59.71,66.73,75.03,0,0,1496.661641,73.27,1477.231049,77.58,37.05,92.31,7.25,38.02,0.265,45.02,6,58.69,0.4,14.43,57.35,7,86.78,65.4,74.75,4.92,50.19,11.07,38.48,17.4,60.45,7.5,51.1,29.6,53.27,9.9,85.83,16.6,47.06,57.01,5.91,60.92
06037119201,4547,Los Angeles,91331,Los Angeles,-118.440639,34.2462338,41.35,77.21,75-80%,CalEnviroScreen 4.0 Top 25%,0.067,97,11.54686613,62,0.068,25.03,726.64,83.13,93.19,98.79,0,0,608.631663,55.29,772.63019,42.19,36,91.04,2,14.31,0.125,21.96,0,0,0,0,47.11,5.75,62.54,73.91,81.26,6.22,79.28,12.37,49.5,37.9,88.21,9.1,58.22,34.9,61.65,9.4,83.63,17.4,51.36,69.31,7.19,79.31
06037197300,4052,Los Angeles,90026,Los Angeles,-118.2520467,34.0811373,41.33,77.13,75-80%,CalEnviroScreen 4.0 Top 25%,0.049,59.69,12.35660149,90.27,0.291,75.37,787.94,92.53,55.81,59.72,0,0,1705.647359,75.86,812.3080413,45.11,7.35,51.1,11.2,49.93,0.16,28.3,13,91.87,0.1,2.52,56.46,6.89,85.24,55.72,63.7,6.25,79.73,14.06,60.59,13.6,52.13,9.5,59.79,24,42.61,2.7,13.18,21.9,70.23,57.8,6,62.15
06037218110,3195,Los Angeles,90019,Los Angeles,-118.3275531,34.0443254,41.21,76.95,75-80%,CalEnviroScreen 4.0 Top 25%,0.046,46.99,12.00885913,78.68,0.124,44.16,787.94,92.53,85.6,93.79,0,0,1941.170024,78.63,1091.163876,63.5,10.75,62.9,8.75,42.57,0.99,84.98,0,0,0,0,54.22,6.62,80.75,63.71,72.97,3.94,25.21,11.71,43.78,26.4,75.45,17.8,82.84,51.8,83.87,4,30.88,29.9,90.41,60,6.22,65.62
06037191000,4454,Los Angeles,90028,Los Angeles,-118.321677,34.1009548,41.2,76.94,75-80%,CalEnviroScreen 4.0 Top 25%,0.05,62.53,11.97617641,77.19,1.38,99.25,787.94,92.53,49.83,51.32,0,0,1392.261007,71.33,1781.690134,83.49,4.55,40.87,20.75,69.04,0.545,71.99,0,0,0,0,56.93,6.95,86.07,53.18,60.41,6.06,76.44,12.08,46.59,10.3,43.07,7.4,50.52,30,54.03,5,44.35,22.9,73.73,57.14,5.93,61.14
06037236203,3118,Los Angeles,90016,Los Angeles,-118.3467706,34.0184552,41.19,76.93,75-80%,CalEnviroScreen 4.0 Top 25%,0.045,39.99,11.91626655,73.9,0.11,40.3,787.94,92.53,78.34,87.8,0.04,19.86,2309.318339,81.5,753.0939127,40.6,3,31.24,4.8,28.32,0.335,54.64,0,0,0.5,22.08,48.79,5.96,67.33,60.07,69.06,9.18,98.87,9.04,21.44,21.8,67.78,3.1,24.77,63.1,93.76,NA,NA,33,94.47,66.66,6.91,75.38
06037117404,5324,Los Angeles,91343,Los Angeles,-118.479077,34.2284788,41.17,76.88,75-80%,CalEnviroScreen 4.0 Top 25%,0.065,93.63,12.13614247,86.48,0.203,62.68,726.64,83.13,63.66,71.08,0,0,630.0613403,56.08,2745.076287,94.34,54,96.58,12.75,53.4,0.505,69.58,0,0,0,0,60.25,7.36,91.24,75.02,82.1,3.86,23.27,13.8,59.25,12.9,50.52,8.1,53.86,26.5,47.5,5.5,51.26,19.8,61.94,53.95,5.6,55.96
06037125501,3052,Los Angeles,91601,Los Angeles,-118.3657855,34.1622937,41.09,76.78,75-80%,CalEnviroScreen 4.0 Top 25%,0.058,76.94,11.54284994,61.94,0.185,59.39,726.64,83.13,51.19,53.11,0,0,1099.276001,65.98,1051.128305,61.16,37.5,92.65,10,47.43,0.335,54.64,4,43.78,4,70.42,59.07,7.21,89.66,59.61,68.72,3.9,24.31,14.27,62,7.6,32.62,7.1,49.09,38.2,66.43,5.8,55.02,28.4,87.69,54.92,5.7,57.58
